Year,Geography,Measure type,Annual Mean Temperature,Unit of Measure
1970,Northern Ireland trend,Annual Mean Temperature,8.438736151,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
2014,UK trend,Annual Mean Temperature,9.282637646,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1981,Northern Ireland trend,Annual Mean Temperature,8.481999351,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1992,Northern Ireland trend,Annual Mean Temperature,8.808681222,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1929,Wales,Annual Mean Temperature,8.275168904,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1893,Northern Ireland trend,Annual Mean Temperature,8.383434914,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1918,Wales,Annual Mean Temperature,8.818106329,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
2019,England trend,Annual Mean Temperature,10.17599784,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1907,Wales,Annual Mean Temperature,8.151348438,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
2008,England trend,Annual Mean Temperature,10.03769011,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1909,Northern Ireland,Annual Mean Temperature,7.597969918,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1939,Wales,Annual Mean Temperature,8.863049534,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1928,Wales,Annual Mean Temperature,8.803133607,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1917,Wales,Annual Mean Temperature,7.772857616,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1906,Wales,Annual Mean Temperature,8.501094685,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1904,Scotland trend,Annual Mean Temperature,6.880187626,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1915,Scotland trend,Annual Mean Temperature,6.86671704,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1926,Scotland trend,Annual Mean Temperature,6.966273239,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1897,England trend,Annual Mean Temperature,8.718474418,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1937,Scotland trend,Annual Mean Temperature,7.173366426,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
2011,Wales trend,Annual Mean Temperature,9.502630388,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1886,England trend,Annual Mean Temperature,8.41136727,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1948,Scotland trend,Annual Mean Temperature,7.190226077,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
2000,Wales trend,Annual Mean Temperature,9.36579606,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1996,England trend,Annual Mean Temperature,9.736856235,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1959,Scotland trend,Annual Mean Temperature,7.045195333,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1985,England trend,Annual Mean Temperature,9.216759722,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1974,England trend,Annual Mean Temperature,9.017476867,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1960,UK trend,Annual Mean Temperature,8.311860552,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1963,England trend,Annual Mean Temperature,8.95615206,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1960,Northern Ireland trend,Annual Mean Temperature,8.531447261,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1971,UK trend,Annual Mean Temperature,8.2959351,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1971,Northern Ireland trend,Annual Mean Temperature,8.440576011,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1982,UK trend,Annual Mean Temperature,8.398583597,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1952,England trend,Annual Mean Temperature,9.12648094,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1941,England trend,Annual Mean Temperature,9.149354055,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1993,UK trend,Annual Mean Temperature,8.799954044,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1982,Northern Ireland trend,Annual Mean Temperature,8.495598009,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1930,England trend,Annual Mean Temperature,9.001756021,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1993,Northern Ireland trend,Annual Mean Temperature,8.856107336,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1894,UK trend,Annual Mean Temperature,7.985223224,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1894,Northern Ireland trend,Annual Mean Temperature,8.393022999,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
2020,Scotland,Annual Mean Temperature,8.015047678,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1890,Wales trend,Annual Mean Temperature,8.136979423,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
2004,UK trend,Annual Mean Temperature,9.174769266,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
2004,Northern Ireland trend,Annual Mean Temperature,9.192578268,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
2015,UK trend,Annual Mean Temperature,9.292735865,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
2018,England trend,Annual Mean Temperature,10.17473831,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
2015,Northern Ireland trend,Annual Mean Temperature,9.202875589,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
2007,England trend,Annual Mean Temperature,10.02963917,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
2017,England trend,Annual Mean Temperature,10.16978348,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
2006,England trend,Annual Mean Temperature,10.01732263,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
2005,UK trend,Annual Mean Temperature,9.189064066,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
2016,UK trend,Annual Mean Temperature,9.304333021,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1950,Northern Ireland trend,Annual Mean Temperature,8.706546366,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1961,Northern Ireland trend,Annual Mean Temperature,8.510095848,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1905,Scotland trend,Annual Mean Temperature,6.883291229,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1972,Northern Ireland trend,Annual Mean Temperature,8.434356878,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1916,Scotland trend,Annual Mean Temperature,6.86372702,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1983,Northern Ireland trend,Annual Mean Temperature,8.512615104,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1994,Northern Ireland trend,Annual Mean Temperature,8.906461152,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1927,Scotland trend,Annual Mean Temperature,6.981361819,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1884,Northern Ireland trend,Annual Mean Temperature,8.276867445,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1896,England trend,Annual Mean Temperature,8.69095807,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1938,Scotland trend,Annual Mean Temperature,7.181771693,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1895,Northern Ireland trend,Annual Mean Temperature,8.39635622,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1885,England trend,Annual Mean Temperature,8.40158471,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1949,Wales,Annual Mean Temperature,9.781906438,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1949,Scotland trend,Annual Mean Temperature,7.180904245,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1995,England trend,Annual Mean Temperature,9.69871802,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1938,Wales,Annual Mean Temperature,9.152540877,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
2010,Wales trend,Annual Mean Temperature,9.483786237,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1927,Wales,Annual Mean Temperature,8.475431096,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1984,England trend,Annual Mean Temperature,9.191789175,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1916,Wales,Annual Mean Temperature,8.421568306,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1973,England trend,Annual Mean Temperature,9.013255599,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1962,England trend,Annual Mean Temperature,8.967591666,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1905,Wales,Annual Mean Temperature,8.317608849,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1951,England trend,Annual Mean Temperature,9.144541373,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1940,England trend,Annual Mean Temperature,9.143923119,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1950,UK trend,Annual Mean Temperature,8.465367986,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1961,UK trend,Annual Mean Temperature,8.294235809,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1972,UK trend,Annual Mean Temperature,8.29520717,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1983,UK trend,Annual Mean Temperature,8.418868884,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
2005,Northern Ireland trend,Annual Mean Temperature,9.202088018,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1994,UK trend,Annual Mean Temperature,8.852269739,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
2016,Northern Ireland trend,Annual Mean Temperature,9.20767054,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1884,UK trend,Annual Mean Temperature,7.765340474,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1895,UK trend,Annual Mean Temperature,8.008756891,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
2010,Scotland,Annual Mean Temperature,6.515020548,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1940,Northern Ireland trend,Annual Mean Temperature,8.623641697,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1995,UK trend,Annual Mean Temperature,8.899968512,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1951,Northern Ireland trend,Annual Mean Temperature,8.693262087,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1885,UK trend,Annual Mean Temperature,7.767546337,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1962,Northern Ireland trend,Annual Mean Temperature,8.488107846,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1896,UK trend,Annual Mean Temperature,8.034539256,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
2000,Scotland,Annual Mean Temperature,7.669452514,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
2011,Scotland,Annual Mean Temperature,8.02117211,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1973,Northern Ireland trend,Annual Mean Temperature,8.432559803,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
2016,England trend,Annual Mean Temperature,10.16223672,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1984,Northern Ireland trend,Annual Mean Temperature,8.528107846,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
2005,England trend,Annual Mean Temperature,9.998860227,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1995,Northern Ireland trend,Annual Mean Temperature,8.953502068,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1885,Northern Ireland trend,Annual Mean Temperature,8.28037785,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1896,Northern Ireland trend,Annual Mean Temperature,8.402751144,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1906,Scotland trend,Annual Mean Temperature,6.885323993,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1917,Scotland trend,Annual Mean Temperature,6.861091217,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
2006,UK trend,Annual Mean Temperature,9.2041005,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1928,Scotland trend,Annual Mean Temperature,6.996888783,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
2017,UK trend,Annual Mean Temperature,9.307780808,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1939,Scotland trend,Annual Mean Temperature,7.186374788,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1895,England trend,Annual Mean Temperature,8.663882397,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1884,England trend,Annual Mean Temperature,8.399953504,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1994,England trend,Annual Mean Temperature,9.649623936,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
2006,Northern Ireland trend,Annual Mean Temperature,9.208542393,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1983,England trend,Annual Mean Temperature,9.16931604,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
2017,Northern Ireland trend,Annual Mean Temperature,9.204532456,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1972,England trend,Annual Mean Temperature,9.009171086,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
2020,Wales trend,Annual Mean Temperature,9.589437566,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1961,England trend,Annual Mean Temperature,8.987791059,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1950,England trend,Annual Mean Temperature,9.163229395,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1959,Wales,Annual Mean Temperature,9.644690192,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1948,Wales,Annual Mean Temperature,9.140599153,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1890,Scotland,Annual Mean Temperature,6.964949014,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1937,Wales,Annual Mean Temperature,8.71344789,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1926,Wales,Annual Mean Temperature,8.937015507,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1915,Wales,Annual Mean Temperature,8.276753479,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1940,UK trend,Annual Mean Temperature,8.454381274,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1904,Wales,Annual Mean Temperature,8.22215959,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1951,UK trend,Annual Mean Temperature,8.4482192,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1962,UK trend,Annual Mean Temperature,8.275480073,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1973,UK trend,Annual Mean Temperature,8.297276529,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1984,UK trend,Annual Mean Temperature,8.437650516,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1891,Scotland,Annual Mean Temperature,6.549833699,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1886,Northern Ireland trend,Annual Mean Temperature,8.289742737,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1969,Wales,Annual Mean Temperature,8.386367315,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1897,Northern Ireland trend,Annual Mean Temperature,8.404972556,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1958,Wales,Annual Mean Temperature,8.661636301,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1930,UK trend,Annual Mean Temperature,8.308487162,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1941,UK trend,Annual Mean Temperature,8.459208996,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1947,Wales,Annual Mean Temperature,8.572458521,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1936,Wales,Annual Mean Temperature,8.590026667,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1952,UK trend,Annual Mean Temperature,8.432036812,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1925,Wales,Annual Mean Temperature,8.447358767,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1963,UK trend,Annual Mean Temperature,8.263468395,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1914,Wales,Annual Mean Temperature,9.090313534,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1974,UK trend,Annual Mean Temperature,8.29986542,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
2015,England trend,Annual Mean Temperature,10.14649818,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1985,UK trend,Annual Mean Temperature,8.457951413,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1903,Wales,Annual Mean Temperature,8.326626055,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
2004,England trend,Annual Mean Temperature,9.982737543,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1996,UK trend,Annual Mean Temperature,8.938095536,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1886,UK trend,Annual Mean Temperature,7.777713377,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
2001,Scotland,Annual Mean Temperature,7.315385479,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1897,UK trend,Annual Mean Temperature,8.059179775,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
2012,Scotland,Annual Mean Temperature,7.291857732,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
2007,Northern Ireland trend,Annual Mean Temperature,9.209486325,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
2018,Northern Ireland trend,Annual Mean Temperature,9.19913653,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1907,Scotland trend,Annual Mean Temperature,6.888355368,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1918,Scotland trend,Annual Mean Temperature,6.862559716,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1929,Scotland trend,Annual Mean Temperature,7.016709016,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1894,England trend,Annual Mean Temperature,8.637743563,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1993,England trend,Annual Mean Temperature,9.594488384,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
2007,UK trend,Annual Mean Temperature,9.213600325,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
2018,UK trend,Annual Mean Temperature,9.309060513,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1982,England trend,Annual Mean Temperature,9.145305388,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1971,England trend,Annual Mean Temperature,9.008459,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1960,England trend,Annual Mean Temperature,9.005898084,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1930,Northern Ireland trend,Annual Mean Temperature,8.425247765,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1941,Northern Ireland trend,Annual Mean Temperature,8.640052294,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1952,Northern Ireland trend,Annual Mean Temperature,8.680774064,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1963,Northern Ireland trend,Annual Mean Temperature,8.470345018,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1974,Northern Ireland trend,Annual Mean Temperature,8.431293829,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1990,Scotland,Annual Mean Temperature,7.795006055,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1985,Northern Ireland trend,Annual Mean Temperature,8.545115432,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1996,Northern Ireland trend,Annual Mean Temperature,8.990343764,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
2008,Northern Ireland trend,Annual Mean Temperature,9.20374175,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1980,Scotland,Annual Mean Temperature,7.041614918,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1991,Scotland,Annual Mean Temperature,7.368471096,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
2019,Northern Ireland trend,Annual Mean Temperature,9.194094122,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1892,Scotland,Annual Mean Temperature,5.698332158,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1920,UK trend,Annual Mean Temperature,8.184762635,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1931,UK trend,Annual Mean Temperature,8.329906966,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
2014,England trend,Annual Mean Temperature,10.13147469,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1979,Wales,Annual Mean Temperature,7.855976301,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1942,UK trend,Annual Mean Temperature,8.466593517,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
2003,England trend,Annual Mean Temperature,9.966466177,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1968,Wales,Annual Mean Temperature,8.500678333,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1953,UK trend,Annual Mean Temperature,8.419491391,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1964,UK trend,Annual Mean Temperature,8.261347922,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1957,Wales,Annual Mean Temperature,9.295949151,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1946,Wales,Annual Mean Temperature,8.548640795,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1975,UK trend,Annual Mean Temperature,8.310079844,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1908,Scotland trend,Annual Mean Temperature,6.886229899,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1935,Wales,Annual Mean Temperature,8.851904493,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1986,UK trend,Annual Mean Temperature,8.486439086,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1919,Scotland trend,Annual Mean Temperature,6.866510538,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1997,UK trend,Annual Mean Temperature,8.982237989,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1924,Wales,Annual Mean Temperature,8.492629945,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1887,UK trend,Annual Mean Temperature,7.794273274,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1913,Wales,Annual Mean Temperature,9.065714932,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1898,UK trend,Annual Mean Temperature,8.07971045,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1902,Wales,Annual Mean Temperature,8.034128466,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1920,Northern Ireland trend,Annual Mean Temperature,8.274532839,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
2002,Scotland,Annual Mean Temperature,7.980523753,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
2013,Scotland,Annual Mean Temperature,7.49107063,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1931,Northern Ireland trend,Annual Mean Temperature,8.447828732,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1942,Northern Ireland trend,Annual Mean Temperature,8.659458363,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1953,Northern Ireland trend,Annual Mean Temperature,8.668853396,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1893,England trend,Annual Mean Temperature,8.604228616,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1964,Northern Ireland trend,Annual Mean Temperature,8.461174196,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1992,England trend,Annual Mean Temperature,9.541352694,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1975,Northern Ireland trend,Annual Mean Temperature,8.437622164,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1986,Northern Ireland trend,Annual Mean Temperature,8.569296258,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1981,England trend,Annual Mean Temperature,9.123318062,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1997,Northern Ireland trend,Annual Mean Temperature,9.030843655,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1970,England trend,Annual Mean Temperature,8.999729911,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1887,Northern Ireland trend,Annual Mean Temperature,8.305016464,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
